technique_id,name,category,duration_raw,duration_midpoint_min,description,instructions
28,Spiritual Meditation,Energy / Spiritual,10-30 minutes,20,Involves connecting with a higher power or spiritual practice to promote relaxation and inner peace.,Sit in a comfortable position with your eyes closed and connect with your higher power or spiritual practice through prayer or visualization.
29,Chanting Meditation,Mantra / Repetition,10-30 minutes,20,Involves repeating a sound or phrase to promote relaxation and focus.,"Sit in a comfortable position with your eyes closed and repeat a sound or phrase, such as 'Om' or 'peace'."
30,Third Eye Meditation,Visualization,10-30 minutes,20,Involves focusing on the area between the eyebrows to promote relaxation and develop intuition.,"Sit in a comfortable position with your eyes closed and focus on the area between your eyebrows, imagining a light or energy there."
31,Mudra Meditation,Energy / Spiritual,10-30 minutes,20,Involves using hand gestures to promote relaxation and focus.,"Sit in a comfortable position with your eyes closed and use a specific hand gesture, or mudra, to promote relaxation and focus."
32,Self-Inquiry Meditation,Mantra / Repetition,10-30 minutes,20,Involves asking oneself open-ended questions to promote self-awareness and understanding.,"Sit in a comfortable position with your eyes closed and ask yourself open-ended questions, such as 'Who am I?' or 'What do I really want?'."
33,Inner Light Meditation,Visualization,10-30 minutes,20,Involves focusing on a bright light within oneself to promote relaxation and inner peace.,"Sit in a comfortable position with your eyes closed and imagine a bright light within yourself, focusing on its warmth and energy."
34,Mindful Movement Meditation,Mindfulness,10-30 minutes,20,Involves combining movement and mindfulness to promote relaxation and awareness.,"Engage in a gentle movement practice, such as yoga or tai chi, while maintaining awareness of your body and breath."
35,Gratitude Meditation,Gratitude,10-30 minutes,20,Involves focusing on feelings of gratitude and appreciation to promote positivity and well-being.,"Sit in a comfortable position with your eyes closed and focus on things you are grateful for, allowing yourself to feel the emotions associated with gratitude."
36,Affirmation Meditation,Mantra / Repetition,10-30 minutes,20,Involves repeating positive affirmations to promote self-confidence and positivity.,"Sit in a comfortable position with your eyes closed and repeat positive affirmations to yourself, such as 'I am worthy' or 'I am capable'."
37,Compassionate Body Scan Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves combining body scan and compassionate meditation techniques to promote relaxation and self-compassion.,"Lie down or sit in a comfortable position with your eyes closed and focus on each part of your body, sending feelings of love and compassion towards yourself."
38,Breath and Sound Meditation,Breathwork,10-30 minutes,20,Involves combining breath and sound awareness to promote relaxation and focus.,"Sit in a comfortable position with your eyes closed and focus on your breath and a specific sound, such as white noise or a mantra."
39,Morning Meditation,Guided / Timed,10-30 minutes,20,Involves starting the day with a meditation practice to promote focus and positivity.,Sit in a comfortable position with your eyes closed and start the day with a meditation practice of your choice.
40,Evening Meditation,Guided / Timed,10-30 minutes,20,Involves ending the day with a meditation practice to promote relaxation and restful sleep.,Sit in a comfortable position with your eyes closed and end the day with a meditation practice of your choice.
41,Breath and Body Awareness Meditation,Body-Based,10-30 minutes,20,Involves focusing on the breath and sensations in the body to promote relaxation and awareness.,Sit in a comfortable position with your eyes closed and focus on your breath and the sensations in your body.
42,Mindful Communication Meditation,Mindfulness,10-30 minutes,20,Involves practicing mindful communication with oneself and others to promote understanding and connection.,Sit in a comfortable position with your eyes closed and visualize communicating mindfully with yourself and others.
43,Labyrinth Meditation,Movement-Based,10-30 minutes,20,Involves walking a labyrinth to promote relaxation and focus.,"Find a labyrinth and walk it slowly and mindfully, focusing on each step and the path ahead."
44,Color Visualization Meditation,Visualization,10-30 minutes,20,Involves visualizing different colors and their associated emotions to promote relaxation and positivity.,"Sit in a comfortable position with your eyes closed and visualize different colors, focusing on the emotions associated with each color."
45,Breath and Loving-Kindness Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves combining breath awareness and loving-kindness meditation to promote relaxation and compassion.,"Sit in a comfortable position with your eyes closed and focus on your breath, while also sending feelings of love and compassion towards yourself and others."
46,Gratitude Journaling Meditation,Gratitude,10-30 minutes,20,Involves journaling about things you are grateful for to promote positivity and well-being.,"Write in a journal about things you are grateful for, focusing on the emotions associated with gratitude."
47,Sitting with Difficult Emotions Meditation,Other,10-30 minutes,20,Involves sitting with uncomfortable emotions to promote self-awareness and acceptance.,Sit in a comfortable position with your eyes closed and allow yourself to feel difficult emotions without judgement or resistance.
48,Mindful Walking Meditation,Mindfulness,10-30 minutes,20,"Involves walking slowly and mindfully, focusing on each step and the environment around you.","Find a quiet place to walk slowly, focusing on each step and the environment around you."
49,Gratitude Body Scan Meditation,Body-Based,10-30 minutes,20,Involves combining body scan and gratitude techniques to promote relaxation and positivity.,"Lie down or sit in a comfortable position with your eyes closed and focus on each part of your body, while also feeling gratitude for each part."
50,Breath and Body Awareness in Nature Meditation,Body-Based,10-30 minutes,20,Involves combining breath and body awareness with being in nature to promote relaxation and connection.,"Find a quiet place in nature to sit or walk, focusing on your breath and the sensations in your body."
51,Breath and Loving-Kindness in Nature Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves combining breath awareness and loving-kindness meditation with being in nature to promote relaxation and connection.,"Find a quiet place in nature to sit or walk, focusing on your breath and sending feelings of love and compassion towards yourself and others."
52,Compassionate Forgiveness Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves cultivating feelings of compassion and forgiveness towards oneself and others.,Sit in a comfortable position with your eyes closed and visualize yourself and others experiencing forgiveness and freedom from past hurt.
53,Breath and Body Awareness with Affirmations Meditation,Body-Based,10-30 minutes,20,Involves combining breath and body awareness with positive affirmations to promoterelaxation and positivity.,"Sit in a comfortable position with your eyes closed and focus on your breath and the sensations in your body, while also repeating positive affirmations to yourself."
54,Body Awareness and Gratitude Meditation,Body-Based,10-30 minutes,20,Involves combining body awareness and gratitude techniques to promote relaxation and positivity.,"Lie down or sit in a comfortable position with your eyes closed and focus on each part of your body, while also feeling gratitude for each part."
55,Breath and Open Awareness Meditation,Breathwork,10-30 minutes,20,Involves focusing on the breath and open awareness of thoughts and sensations to promote relaxation and mindfulness.,"Sit in a comfortable position with your eyes closed and focus on your breath, while also allowing thoughts and sensations to come and go without judgement."
56,Singing Bowl Meditation,Sound-Based,10-30 minutes,20,Involves listening to the sound of a singing bowl to promote relaxation and focus.,"Sit in a comfortable position with your eyes closed and listen to the sound of a singing bowl, focusing on the vibrations and sensations in your body."
57,Body Scan and Loving-Kindness Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves combining body scan and loving-kindness techniques to promote relaxation and compassion.,"Lie down or sit in a comfortable position with your eyes closed and focus on each part of your body, while also sending feelings of love and compassion towards yourself and others."
58,Breath and Movement Meditation,Breathwork,10-30 minutes,20,Involves combining breath awareness and gentle movement to promote relaxation and mindfulness.,"Sit or stand in a comfortable position and focus on your breath, while also gently moving your body in a way that feels good."
59,Gratitude Visualization Meditation,Visualization,10-30 minutes,20,Involves visualizing things you are grateful for to promote positivity and well-being.,"Sit in a comfortable position with your eyes closed and visualize things you are grateful for, focusing on the emotions associated with gratitude."
60,Breath and Body Awareness with Mantra Meditation,Body-Based,10-30 minutes,20,Involves combining breath and body awareness with a mantra to promote relaxation and focus.,"Sit in a comfortable position with your eyes closed and focus on your breath and the sensations in your body, while also repeating a mantra to yourself."
61,Relaxation Meditation,Body-Based,10-30 minutes,20,Involves promoting relaxation in the body and mind through various techniques such as progressive muscle relaxation and visualization.,Lie down or sit in a comfortable position with your eyes closed and practice various relaxation techniques such as progressive muscle relaxation and visualization.
62,Self-Compassion Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves cultivating feelings of self-compassion and acceptance to promote well-being.,"Sit in a comfortable position with your eyes closed and focus on sending feelings of love, compassion, and acceptance towards yourself."
63,Breath and Loving-Kindness in Community Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves combining breath awareness and loving-kindness meditation with the idea of community to promote connection and positivity.,"Sit in a comfortable position with your eyes closed and focus on your breath, while also sending feelings of love and compassion towards yourself and the community."
64,Gratitude and Loving-Kindness Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves combining gratitude and loving-kindness techniques to promote positivity and well-being.,Sit in a comfortable position with your eyes closed and focus on sending feelings of love and gratitude towards yourself and others.
65,Breath and Body Awareness with Chakra Meditation,Body-Based,10-30 minutes,20,Involves combining breath and body awareness with the concept of chakras to promote relaxation and balance.,"Sit in a comfortable position with your eyes closed and focus on your breath and the sensations in your body, while also visualizing the energy centers in your body known as chakras."
66,Compassionate Self-Talk Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves cultivating positive self-talk and self-compassion to promote well-being.,Sit in a comfortable position with your eyes closed and focus on cultivating positive self-talk and sending feelings of self-compassion towards yourself.
